,Probability
0,0.3154257653038836
1,0.18045211328785166
2,0.12750949740073605
3,0.316636836060265
4,0.4758794744882827
5,0.08605256223256542
6,0.1555069781933542
7,0.24433222348261255
8,0.13091077602543952
9,0.6651052667545398
10,0.1529094250374322
11,0.14052138639439501
12,0.11893063263196857
13,0.20023287828620223
14,0.1346577773844096
15,0.17564766152967776
16,0.10218729179891912
17,0.14680306971654042
18,0.4774578732711012
19,0.26845739341879543
20,0.13239745983979775
21,0.11333051445458314
22,0.0778622700022021
23,0.4874661251731684
24,0.2871772750163046
25,0.2077665721313424
26,0.4858966180250714
27,0.14764307467525356
28,0.21561961372720748
29,0.2685450838933084
30,0.22335012105649252
31,0.14957333814334886
32,0.1357540029862001
33,0.28172793984840416
34,0.5444217039138496
35,0.15172675163711827
36,0.17825854822276427
37,0.19733628593874758
38,0.15225952413725272
39,0.26428690523738546
40,0.2461409515167305
41,0.45899802712865223
42,0.174535521281284
43,0.10752718597457377
44,0.21583198153229843
45,0.07159572510535946
46,0.06989811735932967
47,0.13699022507232395
48,0.18141973031745204
49,0.12819012178136224
50,0.15673877015438117
51,0.15732048600961332
52,0.14384595641536105
53,0.4113975557529011
54,0.17543310140861346
55,0.2825157511495954
56,0.07355413313473882
57,0.30352145427137434
58,0.22782156514688046
59,0.3206024103324602
60,0.09154167609982077
61,0.12456269917452026
62,0.15557041139818875
63,0.08518409118726035
64,0.1504611835145279
65,0.13251870603550056
66,0.1438828330133766
67,0.5139286379614748
68,0.10064872455645654
69,0.7377844492348622
70,0.15801976981800112
71,0.43588707602760857
72,0.07965504687109437
73,0.5680592102297787
74,0.14022068761473222
75,0.20345683578650414
76,0.15595966113490375
77,0.19034210167369323
78,0.21788329308183302
79,0.17134650102900323
80,0.18331743971092712
81,0.124588311229648
82,0.19122191733039437
83,0.10242943902154937
84,0.13574420760673198
85,0.13930724432425548
86,0.20151183821951862
87,0.16550130018641784
88,0.1871328592338016
89,0.18045883060068116
90,0.20316312414734508
91,0.14926984611652108
92,0.13001618227210787
93,0.11251211872427774
94,0.1000145501730774
95,0.22441927404861117
96,0.15413534398824438
97,0.16968880044703227
98,0.13623110570747107
99,0.16719227141064713
100,0.2390677014273819
101,0.2286800481098071
102,0.1577531046157024
103,0.20298379300575578
104,0.436751050625481
